#snapnr	v0_kms_bestfit	a_MND_kpc_bestfit	b_MND_kpc_bestfit	a_NFWH_kpc_bestfit	a_HB_kpc_bestfit	n_MND_bestfit	n_NFWH_bestfit	n_HB_bestfit
7.800000000000000000e+01 3.241204557668598341e+02 7.057821862263381263e+00 2.611778082517446364e-03 3.633793779657525533e+02 3.636779704282317880e+02 6.556939780245896188e-01 2.145374693028704871e-01 1.297685526725398386e-01
7.900000000000000000e+01 3.490052804071523269e+02 7.777588296373920684e+00 2.540926558374678734e-03 3.046816877118720299e+02 4.337712262743190195e+01 5.483053287734312997e-01 4.082547683621791657e-01 4.343990286438947912e-02
8.000000000000000000e+01 3.528430916629232570e+02 7.682207924796188081e+00 3.025163087812643425e-03 1.490677420441978711e+02 2.859664943807658233e+02 5.454605027616509227e-01 3.884689284546216093e-01 6.607056878372752351e-02
8.100000000000000000e+01 3.948713781211847049e+02 7.649640481081945609e+00 8.989452443429968298e-03 1.999915185511125060e+01 2.815915384772579273e+02 4.381374690719928577e-01 5.420762743119521554e-01 1.978625661605493136e-02
8.200000000000000000e+01 2.873928812864588167e+02 8.210961848187338319e+00 2.981082883451335874e-03 3.678176859058499986e+02 3.017835784506347068e+02 8.021816609376588580e-01 8.006546436030370639e-02 1.177528747020374356e-01
8.300000000000000000e+01 3.541881746777778517e+02 7.872163197170351623e+00 5.268158453880289471e-03 4.580993998644814269e+02 1.906444058343168138e+02 5.505398080841413799e-01 3.458407528887541549e-01 1.036194390271044652e-01
8.400000000000000000e+01 3.984115763637256578e+02 8.160940072728806172e+00 2.546951431362742824e-03 3.717871058881962654e+02 2.653612677107923901e+02 4.266106494277640548e-01 2.962578250521614165e-01 2.771315255200745842e-01
8.500000000000000000e+01 3.525823871858532925e+02 8.354440071990694605e+00 2.438208851337719807e-03 2.375174559533016350e+01 2.331173915863825243e+02 5.446410728103292520e-01 3.913348919299727280e-01 6.402403525969802001e-02
8.600000000000000000e+01 2.925033881686380255e+02 9.255654338150520744e-02 7.643455381426420558e+00 4.324584103954242664e+02 4.596921585232690290e+02 8.212007178260559703e-01 9.272762043927462727e-02 8.607166173466940240e-02
8.700000000000000000e+01 3.814303323102654986e+02 8.409538394555710283e+00 4.638917555396915304e-03 3.296422766230724051e+02 1.530760469041796057e+02 4.888576886225758922e-01 2.871605650063415727e-01 2.239817463710824796e-01
8.800000000000000000e+01 3.085400294254143319e+02 8.726864263642852393e+00 3.297753740199027561e-03 3.391015348570131778e+02 9.164175205808362534e+01 7.400344218273544605e-01 2.067388961388501589e-01 5.322668203379543606e-02
8.900000000000000000e+01 3.974251972068495888e+02 2.393246176265506620e-02 8.581152582580152455e+00 3.098718233338804566e+02 3.427454979268894704e+02 4.421668140623145615e-01 3.963020145051275311e-01 1.615311714325579073e-01
9.000000000000000000e+01 3.648547487417659454e+02 9.559129845910888434e+00 1.837418838476878591e-03 2.207456287927045082e+02 3.362196119279698223e+02 5.034457009380534087e-01 5.601951033154956017e-02 4.405347887303969756e-01
